Date,KO,MSFT,PCLN,PEP
2017-04-03,42.41,65.550003,1773.98999,111.860001
2017-04-04,42.68,65.730003,1767.380005,112.080002
2017-04-05,42.57,65.559998,1761.77002,111.940002
2017-04-06,42.669998,65.730003,1773.52002,111.580002
2017-04-07,42.610001,65.68,1769.560059,111.610001
2017-04-10,42.689999,65.529999,1775.969971,112.019997
2017-04-11,42.66,65.480003,1768.400024,111.730003
2017-04-12,42.939999,65.230003,1750.01001,113.610001
2017-04-13,42.790001,64.949997,1738.77002,112.68
2017-04-17,43.07,65.480003,1770.609985,113.32
2017-04-18,43.48,65.389999,1763.310059,114.279999
2017-04-19,43.23,65.040001,1763.199951,113.620003
2017-04-20,43.09,65.5,1760.800049,113.589996
2017-04-21,43.07,66.400002,1752.01001,113.43
2017-04-24,43.279999,67.529999,1798.619995,114.32
2017-04-25,43.110001,67.919998,1799.089966,114.160004
2017-04-26,43.240002,67.830002,1804.119995,113.330002
2017-04-27,43.009998,68.269997,1835.869995,112.639999
2017-04-28,43.150002,68.459999,1846.819946,113.279999
2017-05-01,43.220001,69.410004,1869.920044,112.279999
2017-05-02,43.389999,69.300003,1880.52002,112.290001
2017-05-03,43.32,69.080002,1876.790039,111.790001
2017-05-04,43.66,68.809998,1910.410034,112.959999
2017-05-05,43.689999,69.0,1903.650024,113.220001
2017-05-08,43.889999,68.940002,1903.910034,113.220001
2017-05-09,43.509998,69.040001,1911.130005,112.720001
2017-05-10,43.57,69.309998,1824.77002,112.839996
2017-05-11,43.669998,68.459999,1813.560059,113.040001
2017-05-12,43.59,68.379997,1818.180054,112.910004
2017-05-15,43.73,68.43,1813.810059,113.940002
2017-05-16,43.849998,69.410004,1829.800049,113.790001
2017-05-17,43.93,67.480003,1795.689941,113.739998
2017-05-18,43.799999,67.709999,1796.030029,114.029999
2017-05-19,43.900002,67.690002,1808.280029,113.690002
2017-05-22,44.18,68.449997,1828.420044,114.699997
2017-05-23,44.389999,68.68,1827.939941,115.050003
2017-05-24,45.029999,68.769997,1848.73999,116.059998
2017-05-25,45.41,69.620003,1860.430054,117.529999
2017-05-26,45.389999,69.959999,1863.900024,117.910004
2017-05-30,45.43,70.410004,1857.449951,118.010002
2017-05-31,45.470001,69.839996,1877.089966,116.870003
2017-06-01,45.790001,70.099998,1890.819946,117.230003
2017-06-02,45.889999,71.760002,1895.959961,117.669998
2017-06-05,45.990002,72.279999,1891.579956,117.879997
2017-06-06,45.98,72.519997,1889.859985,117.699997
2017-06-07,45.509998,72.389999,1890.369995,117.050003
2017-06-08,45.130001,71.949997,1892.380005,115.889999
2017-06-09,45.32,70.32,1842.119995,115.940002
2017-06-12,45.330002,69.779999,1812.98999,116.230003
2017-06-13,45.029999,70.650002,1843.52002,116.32
2017-06-14,45.299999,70.269997,1831.609985,117.370003
2017-06-15,45.25,69.900002,1809.199951,117.209999
2017-06-16,45.310001,70.0,1802.609985,116.860001
2017-06-19,45.380001,70.870003,1851.599976,117.290001
2017-06-20,45.610001,69.910004,1850.640015,117.949997
2017-06-21,45.220001,70.269997,1867.780029,117.419998
2017-06-22,45.07,70.260002,1862.930054,116.150002
2017-06-23,45.25,71.209999,1874.280029,116.959999
2017-06-26,45.43,70.529999,1876.339966,117.120003
2017-06-27,45.049999,69.209999,1858.25,115.940002
